BEDROOMS,PROPERTY TYPE,HAS GYM,EN SUITE,SWIMMING POOL,Has DSQ,Has GARDEN,LOCATION,SELLING PRICE 
6,Villa,0,1,0,0,0,Kiambu Road,"130,000,000"
4,Townhouse,0,1,0,1,0,Kiambu Road,"26,950,000"
4,Villa,0,1,0,0,0,Ongata Rongai,"16,000,000"
5,House,0,1,0,0,0,Ngong Road,"45,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"72,000,000"
5,Townhouse,0,1,0,0,0,Westlands,"46,000,000"
5,House,0,1,0,0,0,Lavington,"85,000,000"
5,Townhouse,0,1,0,0,0,Kileleshwa,"50,000,000"
5,Townhouse,0,1,0,1,0,Lavington,"75,000,000"
5,House,0,1,0,0,0,Lavington,"500,000,000"
4,House,0,1,0,0,0,Muthaiga,"140,000,000"
4,House,0,0,0,0,0,Kiserian,"15,000,000"
4,Townhouse,0,1,0,0,0,Kiambu Road,"60,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"50,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"55,000,000"
4,House,0,1,0,1,0,Westlands,"85,000,000"
6,Villa,0,1,0,0,0,Kiambu Road,"130,000,000"
4,House,0,1,0,0,0,Athi River,"427,000,000"
5,House,0,1,0,1,0,Kikuyu,"65,000,000"
3,House,0,0,0,1,0,Ngumo Estate,"15,000,000"
5,Townhouse,0,1,0,0,0,Westlands,"55,000,000"
4,House,0,1,0,1,0,Kiambu Road,"85,000,000"
4,Townhouse,0,0,1,0,0,Westlands,"48,000,000"
5,House,0,0,1,0,0,Westlands,"130,000,000"
4,Townhouse,1,0,0,0,0,Westlands,"88,000,000"
4,NOT PROVIDED,0,0,0,0,0,Langata,"27,000,000"
5,Townhouse,0,0,0,0,0,Westlands,"150,000,000"
5,Townhouse,0,0,1,0,0,Westlands,"120,000,000"
6,Villa,0,1,0,0,0,Lavington,"110,000,000"
5,Villa,0,0,1,0,0,Watamu,"90,000,000"
3,Villa,0,1,0,0,0,Westlands,"85,000,000"
4,House,0,1,0,0,0,Nyali,"35,000,000"
4,Villa,0,1,0,0,0,Nyali,"59,000,000"
4,House,0,1,0,0,0,Westlands,"90,000,000"
6,House,0,0,0,0,0,Westlands,"150,000,000"
5,House,0,0,1,0,0,Naivasha,"95,000,000"
4,Townhouse,1,0,0,0,0,Kiambu Road,"24,000,000"
4,House,0,1,0,0,0,Ruiru,"20,000,000"
5,Townhouse,0,1,0,0,0,Westlands,"90,000,000"
4,House,0,1,0,0,0,Ruiru,"23,000,000"
4,Townhouse,0,0,0,0,0,Westlands,"130,000,000"
5,House,0,1,0,0,0,Westlands,"60,000,000"
4,House,0,1,0,0,0,Nyali,"45,000,000"
4,Townhouse,0,1,0,1,0,Lavington,"50,000,000"
4,House,0,1,0,0,0,Westlands,"115,000,000"
4,NOT PROVIDED,0,0,0,0,0,Nyali,"38,000,000"
5,Villa,0,1,0,0,0,Ngong,"16,500,000"
3,House,0,1,0,0,0,Kiambu Road,"32,250,000"
